frame.number;eth.src;ip.src;eth.dst;ip.dst;_ws.col.Protocol;_ws.col.Info
407;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x91b8 AAAA ntp.ubuntu.com
408;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
409;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xe3da A ntp.ubuntu.com
410;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
411;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x7d00 AAAA ntp.ubuntu.com
412;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
413;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xe3da A ntp.ubuntu.com
414;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
415;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x7d00 AAAA ntp.ubuntu.com
416;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
417;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xa7a0 A ntp.ubuntu.com
418;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
419;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xed42 AAAA ntp.ubuntu.com
420;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
421;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xa7a0 A ntp.ubuntu.com
422;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
423;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xed42 AAAA ntp.ubuntu.com
424;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
425;;127.0.0.1;;127.0.0.1;TCP;41610 → 7687 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=813716 TSecr=0 WS=128
426;;127.0.0.1;;127.0.0.1;TCP;7687 → 41610 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=813716 TSecr=813716 WS=128
427;;127.0.0.1;;127.0.0.1;TCP;41610 → 7687 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=813716 TSecr=813716
428;;127.0.0.1;;127.0.0.1;TCP;41610 → 7687 [PSH, ACK] Seq=1 Ack=1 Win=43776 Len=517 TSval=813716 TSecr=813716
429;;127.0.0.1;;127.0.0.1;TCP;7687 → 41610 [ACK] Seq=1 Ack=518 Win=44800 Len=0 TSval=813716 TSecr=813716
430;;127.0.0.1;;127.0.0.1;TCP;7687 → 41610 [PSH, ACK] Seq=1 Ack=518 Win=44800 Len=1120 TSval=813719 TSecr=813716
431;;127.0.0.1;;127.0.0.1;TCP;41610 → 7687 [ACK] Seq=518 Ack=1121 Win=45952 Len=0 TSval=813719 TSecr=813719
432;;127.0.0.1;;127.0.0.1;TCP;41610 → 7687 [PSH, ACK] Seq=518 Ack=1121 Win=45952 Len=126 TSval=813719 TSecr=813719
433;;127.0.0.1;;127.0.0.1;TCP;7687 → 41610 [PSH, ACK] Seq=1121 Ack=644 Win=44800 Len=51 TSval=813719 TSecr=813719
434;;127.0.0.1;;127.0.0.1;TCP;41610 → 7687 [PSH, ACK] Seq=644 Ack=1172 Win=45952 Len=49 TSval=813719 TSecr=813719
435;;127.0.0.1;;127.0.0.1;TCP;7687 → 41610 [PSH, ACK] Seq=1172 Ack=693 Win=44800 Len=33 TSval=813720 TSecr=813719
436;;127.0.0.1;;127.0.0.1;TCP;41610 → 7687 [PSH, ACK] Seq=693 Ack=1205 Win=45952 Len=108 TSval=813720 TSecr=813720
437;;127.0.0.1;;127.0.0.1;TCP;7687 → 41610 [PSH, ACK] Seq=1205 Ack=801 Win=44800 Len=55 TSval=813720 TSecr=813720
438;;127.0.0.1;;127.0.0.1;TCP;41610 → 7687 [PSH, ACK] Seq=801 Ack=1260 Win=45952 Len=287 TSval=813720 TSecr=813720
439;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=813725 TSecr=0 WS=128
440;;127.0.0.1;;127.0.0.1;TCP;8080 → 45690 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=813725 TSecr=813725 WS=128
441;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=813725 TSecr=813725
442;;127.0.0.1;;127.0.0.1;HTTP;GET /capture_00003_20170304180058.csv HTTP/1.1 
443;;127.0.0.1;;127.0.0.1;TCP;8080 → 45690 [ACK] Seq=1 Ack=198 Win=44800 Len=0 TSval=813725 TSecr=813725
444;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
445;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=198 Ack=18 Win=43776 Len=0 TSval=813725 TSecr=813725
446;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
447;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=198 Ack=56 Win=43776 Len=0 TSval=813725 TSecr=813725
448;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
449;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=198 Ack=93 Win=43776 Len=0 TSval=813725 TSecr=813725
450;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
451;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=198 Ack=117 Win=43776 Len=0 TSval=813725 TSecr=813725
452;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
453;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=198 Ack=140 Win=43776 Len=0 TSval=813725 TSecr=813725
454;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
455;;127.0.0.1;;127.0.0.1;TCP;45690 → 8080 [ACK] Seq=198 Ack=186 Win=43776 Len=0 TSval=813725 TSecr=813725
456;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
